,gene,SRR1222460,SRR1222455,SRR1222450,SRR1222448,SRR1222456
71703,TraesCS5D02G063700,188.2774,197.7413,202.6911,192.916916338,167.0532
71706,TraesCS5D02G064000,1.02241,19.6132,32.26889,66.0596,10.2226
71707,TraesCS5D02G064100,97.9516,24.9123,25.0,1.74872,19.9441
71709,TraesCS5D02G064400,624.732,1055.48,1531.28,2305.06,874.667
71711,TraesCS5D02G064600,14.2334,35.3474,24.5927,31.497,10.9439
71714,TraesCS5D02G064900,8.23644,16.92982,7.38364,22.81151296,6.98633
71715,TraesCS5D02G065000,50.3075,26.79,34.6981,57.4388,56.8697
71716,TraesCS5D02G065100,70.1225,117.7247,147.4404,282.36400000000003,46.2215
71717,TraesCS5D02G065300,154.404,412.713,418.3873,273.668,162.48839999999998
71718,TraesCS5D02G065400,108.239,76.5725,76.8659,129.266,131.166
71719,TraesCS5D02G065500,29.4099,35.4915,51.932,64.3902,46.0576
71720,TraesCS5D02G065600,114.1322,254.7979,455.666,312.0327,50.8862
71721,TraesCS5D02G065700,49.1552,77.3023,43.9209,111.943,36.8279
71722,TraesCS5D02G065800,63.85249999999999,93.7471,88.1054,89.20429999999999,57.4384
71723,TraesCS5D02G065900,14.8959,34.341,38.6755,66.8313,21.5583
71724,TraesCS5D02G066000,20.1595,52.0969,76.3507,76.4094,24.0139
71725,TraesCS5D02G066100,38.2576,18.5648,16.0,4.2927,50.1865
71726,TraesCS5D02G066200,8.31932,25.7959,16.9162,18.7075,4.86623
71731,TraesCS5D02G066700,3.0,5.0,3.0,3.0,3.0
71734,TraesCS5D02G067000,2.68955,5.41003,3.04524,16.0117,5.70967
71738,TraesCS5D02G067400,1.57042,6.84067,3.97088,9.89532,0.0
71740,TraesCS5D02G067600,83.94290000000001,57.675,95.97315,117.8639,92.5083
71746,TraesCS5D02G068200,13.7186,6.0,10.2346,21.8881,11.7671
71748,TraesCS5D02G068400,16.848,5.70073,14.7161,21.2326,25.6747
71752,TraesCS5D02G068800,2.77492,1.29292,102.054,16.8173,3.92582
71757,TraesCS5D02G069300,9.11335,11.9895,14.2456,24.2758,14.6939
71758,TraesCS5D02G069400,32.0882,47.3321,57.8928,61.7254,34.4621
71759,TraesCS5D02G069500,6.40058,22.7591,10.178,15.3046,6.26373
